LocaleIdentifier,TH
MsgUnableToCompletePaymentSwipeCard,คุณกำลังพยายามปิดตั๋วที่ %@ เป็นเจ้าของ  โปรดรูดบัตรผู้ดูแลระบบเพื่อดำเนินการต่อ
MsgUpdating,การอัปเดต
MsgSyncingToCloud,การซิงก์ไปยังคลาวด์
MsgUINotificationShowingNotificationNumberFromStack,แสดง 1 จาก %d
MsgSelected,ที่เลือกไว้
MsgPaypalPaymentMaxAmount,จำนวนเงินสูงสุดสำหรับการชำระเงินผ่านบัตรเครดิตคือ %@
MsgPaypalTipAmountExceed,จำนวนเงินทิปไม่สามารถเกินกว่าจำนวนเงินบนใบเสร็จ
MsgPayPalOrderHasSplitBills,คำสั่งซื้อมีการแยกบิล โปรดชำระแต่ละบิลแยกต่างหาก
MsgCrashTitle,ดูเหมือนว่าเครื่องบริการ POS จะมีปัญหา
MsgCrashPlaceholder,โปรดบอกสิ่งที่คุณกำลังกระทำอยู่ ขณะที่เครื่องมีปัญหาโดยสังเขป
MsgScalesNet,สุทธิ 
MsgScalesMultiplyTare,ทวีคูณน้ำหนักภาชนะ
MsgScalesSetTare,ตั้งค่าน้ำหนักภาชนะ
MsgScalesEnterWeight,ป้อนน้ำหนัก
MsgScalesTare,น้ำหนักภาชนะ
MsgScalesOverrideError,คุณสามารถแทนที่น้ำหนักได้ เมื่อน้ำหนักที่ปรากฏเท่ากับ 0.0 เท่านั้น
MsgScalesSelectTareCount,เลือกจำนวนรวมน้ำหนักภาชนะ
MsgScalesCurrentTare,น้ำหนักภาชนะปัจจุบัน
MsgScalesWeight,น้ำหนัก
MsgScalesPrice,ราคา
MsgScalesInputTare,ตั้งค่าน้ำหนักภาชนะ
MsgScalesEnterTareWeight,ป้อนน้ำหนัก
MsgBarcodeScanProduct,สแกนผลิตภัณฑ์
MsgBarcodeScanDiscountCode,สแกนรหัสส่วนลด
MsgBarcodeEnterBarcode,ป้อนบาร์โค้ด
MsgBarcodeEnterBarcodeWithTouch,แตะที่นี่เพื่อป้อนบาร์โค้ด
MsgBarcodeProductNotFound,ไม่พบผลิตภัณฑ์ที่มีบาร์โค้ดที่ป้อนไว้\n%@\n
MsgBarcodeProductCloseMatch,ไม่พบรายการที่ตรงกันโดยสมบูรณ์ รายการที่ใกล้เคียงกัน:
MsgBarcodeTheExactMatchesFound,พบรายการที่ตรงกัน:
MsgBarcodeSelectProduct,เลือกผลิตภัณฑ์
MsgBarcodeNameorBarcode,ชื่อ หรือบาร์โค้ด
MsgBarcodeNameorBarcodePhone,ชื่อ/บาร์โค้ด
MsgBarcodeProductNotActive,ผลิตภัณฑ์ที่มีบาร์โค้ดที่ป้อนไว้\n%@\nไม่มีการใช้งาน
MsgMeasureUnitKilograms,กิโลกรัม
MsgMeasureUnitLiters,ลิตร
MsgMeasureUnitGallons,แกลลอน
MsgMeasureUnitCubicMeters,ลูกบาศก์เมตร
MsgMeasureUnitShortKilograms,กก.
MsgMeasureUnitShortLiters,ล.
MsgMeasureUnitShortGallons,ก.
MsgMeasureUnitShortCubicMeters,ลบ.ม.
BtnPayTransaction,ชำระเงิน \n การทำรายการ
BtnClearTransaction,ล้าง \n การทำรายการ
BtnStackTransaction,เรียงซ้อน \n การทำรายการ
BtnGasStationActionBlockPump,ปิดกั้น \n ปั๊ม
BtnGasStationActionUnblockPump,ยกเลิกการปิดกั้น \n ปั๊ม
BtnGasStationActionTogglePumpLights,ปิดเปิด \n ไฟปั๊ม
BtnGasStationActionStopAllPumps,หยุด \n ปั๊มทั้งหมด
BtnGasStationActionStopPump,หยุด \n ปั๊ม
BtnGasStationActionReservePump,จอง \n ปั๊ม
BtnGasStationActionCancelReservePump,ยกเลิก \n การจอง
BtnGasStationActionAuthorizePump,อนุญาต \n ปั๊ม
BtnGasStationActionCancelAuthorizePump,ยกเลิก \n การอนุญาต
BtnGasStationActionPausePump,หยุดชั่วคราว \n การจ่าย
BtnGasStationActionResumePump,เริ่ม \n การจ่ายใหม่
BtnGasStationForecourtConnectionLost,การเชื่อมต่อลานหน้าอาคารหายไป กำลังเชื่อมต่อใหม่อีกครั้ง
BtnGasStationForecourtConnected,เชื่อมต่อลานหน้าอาคารแล้ว
BtnGasStationFuelling,การให้เชื้อเพลิง
MsgGasStationChooseTransactionToWork,จัดการการทำรายการ:
MsgLockedBy,ล็อกโดย
MsgConfirmation,การยืนยัน
MsgGasStationDriveOffTitle,รายการ %@ ต้องการความสนใจ
MsgGasStationCantHoldTransaction,ไม่สามารถระงับการทำรายการได้ การทำรายการรวมถึงผลิตภัณฑ์เชื้อเพลิง
MsgGasStationStopPumpConfirmation,คุณต้องการปิดปั๊ม %@ หรือไม่
MsgGasStationStopAllPumpsConfirmation,คุณต้องการปิดปั๊มทั้งหมดหรือไม่
MsgGasStationConfirmationTitle,การยืนยัน:
MsgGasStationCantAddFuelProductHoseBlocked,ไม่สามารถเพิ่มผลิตภัณฑ์เชื้อเพลิงไปยังการทำรายการ สายยางถูกบล็อก
MsgGasStationFuelTransactionIsAlreadyInTheOrderCloseCurrent,เชื้อเพลิง Txn #%d ได้รับการชำระเงินในการทำรายการ #%@ แล้ว โปรดเลือกการทำรายการปัจจุบันเพื่อเปิดการทำรายการในอดีต
MsgGasStationFuelTransactionIsAlreadyInTheOrder,เชื้อเพลิง Txn #%d ได้รับการชำระเงินในการทำรายการ #%@ แล้ว
MsgGasStationFuelGrade,เกรดเชื้อเพลิง
MsgGasStationDueAmount,จำนวนเงินที่ครบกำหนดชำระ
MsgGasStationVolume,ปริมาตร
